Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_MI,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_Gndr,Rndrng_Prvdr_Ent_Cd,Rndrng_Prvdr_St1,Rndrng_Prvdr_St2,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Rndrng_Prvdr_Cntry,Rndrng_Prvdr_Type,Rndrng_Prvdr_Mdcr_Prtcptg_Ind,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
1003077652,Patel,Utpalkumar,,M.D. PH.D.,M,I,17222 Hospital Blvd Ste 346,,Brooksville,FL,12,34601,1.1,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,559,737.0,737,255.89933514,93.629918589,68.712143826,70.830515604
1003079757,Nogales Perez,Elena,M,MD,F,I,Pq26 Ave Comandante,Country Club,Carolina,PR,72,983,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,57,73.0,73,106.04410959,95.944383562,60.754520548,59.939452055
1003079773,Chabra,Inderjit,,"MD, PHD",M,I,4715 E. Camp Lowell Drive,,Tucson,AZ,04,85712,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,219,240.0,240,227.4,91.742583333,72.727,74.60725
1003083247,Lombardi,Milan,M,MD,M,I,2299 9th Ave N,Suite 1-D,St Petersburg,FL,12,33713,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,182,239.0,239,222.62343096,86.883138075,60.040920502,61.444853556
1003084138,Leo,Angela,M,DO,F,I,1717 86th St,,Brooklyn,NY,36,11214,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,17,17.0,17,200.0,114.96529412,67.275882353,54.590588235
1003084591,Marchetti,Michael,A,M.D.,M,I,160 E 53rd St,,New York,NY,36,10022,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,129,148.0,148,330.0,39.994594595,29.870135135,24.978648649
1003106014,Kane,Sinae,A,MD,F,I,350 Parnassus Ave Ste 400,,San Francisco,CA,06,94117,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,216,248.0,248,200.72580645,112.7008871,85.520685484,65.580322581
1003124728,Gonzalez Rivera,Rosbel,,MD,F,I,"Via Bogota G14, Urb. Estancia",,Bayamon,PR,72,961,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,18,21.0,21,120.07,67.8,54.24,60.543809524
1003130725,Morrell,Travis,J,MD,M,I,2655 Little Bookcliff Dr,,Grand Junction,CO,08,81501,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,147,178.0,178,103.48,93.526123596,70.308258427,68.951966292
1003133216,Leong,Tracy,,MD,F,I,7160 Brockton Ave Fl 2,,Riverside,CA,06,92506,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,68,82.0,82,186.0,98.664512195,74.534512195,70.347073171
1003133901,Blackmon,Joseph,A,M.D.,M,I,3101 Parisa Dr,,Paducah,KY,21,42003,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US,Dermatology,Y,11042,Removal of skin and tissue first 20 sq cm or less,N,O,28,46.0,46,229.23478261,121.68826087,95.54673913,102.50586957
1003135823,Schiltz,Clayton,L,D.O.,M,I,7888 Wren Ave Ste A110,,Gilroy,CA,06,95020,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,24,29.0,29,238.0,157.49758621,122.0562069,96.106551724
1003136771,Dommasch,Erica,,MD,F,I,330 Brookline Ave,Shapiro 2,Boston,MA,25,2215,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,F,35,45.0,45,125.15555556,29.384666667,21.343333333,18.880444444
1003142084,Singer,Thomas,J,DO,M,I,7310 College Pkwy,,Fort Myers,FL,12,33907,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,268,304.0,304,182.0,92.152039474,68.280756579,68.185789474
1003158544,Sandhu,Amandeep,S,M.D.,M,I,3110 Chino Ave Ste 120,,Chino Hills,CA,06,91709,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,29,29.0,29,135.0,100.56724138,76.030344828,70.470689655
1003171109,Patel,Nirav,,MD,M,I,20201 N Scottsdale Healthcare Dr,Ste 260,Scottsdale,AZ,04,85255,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,11,11.0,11,241.0,92.882727273,26.705454545,29.62
1003173154,Taylor,Drew,M,M.D.,M,I,3773 E Cherry Creek North Dr Ste 970,,Denver,CO,08,80209,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,281,359.0,359,324.2367688,91.194623955,66.381142061,62.256824513
1003173832,Okereke,Uchenna,R,"MD, MSC",F,I,95 Washington St Ste 210,,Canton,MA,25,2021,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,40,44.0,44,353.15909091,115.40636364,89.666590909,75.144318182
1003175571,Sadeghpour,Mona,,MD,F,I,10103 Ridgegate Pkwy Ste 223,,Lone Tree,CO,08,80124,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,14,14.0,14,215.28285714,106.65642857,69.132857143,64.642857143
1003176934,Secrest,Aaron,M,"MD, PHD",M,I,165 N University Ave,,Farmington,UT,49,84025,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,43,49.0,49,308.0,27.15244898,21.176734694,21.328571429
1003180993,Champlain,Amanda,H,M.D.,F,I,4685 Eldorado Pkwy Ste 100,,Frisco,TX,48,75033,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,54,56.0,56,296.15625,88.356607143,63.465357143,65.184464286
1003201179,Shah,Pooja,R,MD,F,I,177 Main St Ste 105,,Huntington,NY,36,11743,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,111,114.0,114,544.0,118.33324561,91.462368421,75.040614035
1003201617,Mollanazar,Nicholas,K,"MD, MBA",M,I,3400 Spruce St,2 Maloney Building,Philadelphia,PA,42,19104,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,F,107,115.0,115,130.0,31.677652174,24.373478261,22.877913043
1003201799,Fonseca,Maira,,,F,I,1275 York Ave # 8,,New York,NY,36,10065,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,99204,"New patient outpatient visit, total time 45-59 minutes",N,F,24,24.0,24,408.91666667,163.95,123.77208333,101.40458333
1003202409,Almukhtar,Rawaa,,"M.D., MPH",F,I,9898 Genesee Ave,,La Jolla,CA,06,92037,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,21,21.0,21,130.0,31.636190476,25.305714286,24.136190476
1003202433,Guffey,Darren,,M.D.,M,I,1215 Lee St,Box 800744,Charlottesville,VA,51,22908,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,F,59,63.0,63,265.0,24.202380952,18.101587302,17.953174603
1003203381,Sode,Titilola,,,F,I,5323 Harry Hines Blvd,,Dallas,TX,48,75390,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,65,69.0,69,336.0,97.295072464,74.906231884,71.516086957
1003226051,Mitkov,Mario,,MD,M,I,3107 Brassfield Rd Ste 300,,Greensboro,NC,37,27410,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,139,180.0,180,238.0,83.672111111,66.183388889,68.474111111
1003227372,Okman,Jonathan,,M.D.,M,I,500 Alfred Nobel Dr Ste 245,,Hercules,CA,06,94547,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,168,200.0,200,167.0,101.5703,79.182,65.25885
1003229931,Bryan,Daniel,,MD,M,I,6711 Towpath Rd Ste 155,,East Syracuse,NY,36,13057,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,84,97.0,97,146.78948454,92.800824742,73.441958763,74.925257732
1003234832,Bonnichsen,Katherine,,MD,F,I,Avera Medical Group Pierre - Helmsley Center,801 E Sioux Ave,Pierre,SD,46,57501,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,F,190,224.0,224,99.681607143,27.587678571,19.608125,19.8996875
1003235706,Boudreaux,Lauren,E,DO,F,I,3600 Nw Samaritan Dr,,Corvallis,OR,41,97330,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,161,172.0,172,262.85261628,96.64755814,66.537732558,64.668604651
1003250457,Wang,Connie,M,M.D.,F,I,4603 Fm 1463 Rd Ste 100,,Katy,TX,48,77494,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,45,50.0,50,204.04,78.5554,57.9954,60.5716
1003259748,Ferzli,Georgina,M,"M.D., M.S.",F,I,58a W 15th St,,New York,NY,36,10011,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,33,34.0,34,250.0,114.96529412,75.815588235,62.505588235
1003261280,Cardona Munoz,Rocio,M,M.D.,F,I,Pq26 Ave El Comandante Ste 301,,Carolina,PR,72,982,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,99203,"New patient outpatient visit, total time 30-44 minutes",N,O,12,12.0,12,114.1075,114.1,83.673333333,81.748333333
1003265653,Bae,Gordon,H,M.D.,M,I,450 Broadway St,,Redwood City,CA,6,94063,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,85,92.0,92,462.0,30.578804348,21.274456522,18.130108696
1003270232,Langeveld,Andrea,,,F,I,401 Phalen Blvd,,Saint Paul,MN,27,55130,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,99,112.0,112,400.0,96.057857143,73.783035714,72.77125
1003279142,Todd,Sarah,,MD,F,I,606 E Marshall St Ste 107,,West Chester,PA,42,19380,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,341,438.0,438,191.05022831,110.96680365,82.858584475,75.608721461
1003336140,Tamargo,Kimberly,,MD,F,I,3624 W Market St Ste 101,,Fairlawn,OH,39,44333,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,111,121.0,121,175.0,94.547107438,72.420909091,76.167438017
1003342833,Decrescenzo,Andrew,,MD,M,I,6909 Greenbriar Dr,,Houston,TX,48,77030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,99213,"Established patient outpatient visit, total time 20-29 minutes",N,O,12,12.0,12,183.0,68.42,54.74,53.35
1003349317,Oliver,Brittany,,,F,I,110 Irving St Nw,Dept Of Internal Medicine,Washington,DC,11,20010,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,39,46.0,46,146.96,88.386956522,69.008478261,73.643478261
1003800541,Ilyas,Erum,N,MD,F,I,860 First Ave,Suite 8b,King Of Prussia,PA,42,19406,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,175,195.0,195,350.0,96.797794872,74.029487179,67.545128205
1003806183,Saavedra,Arturo,,MD PHD,M,I,1221 Lee St Fl 3,,Charlottesville,VA,51,22908,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,F,56,58.0,58,265.0,27.69362069,20.850862069,20.57137931
1003806928,Altman,Coleman,E,D.O.,M,I,2630 E Seventh St,Suite 200,Charlotte,NC,37,28204,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,14,14.0,14,265.16,119.79,86.061428571,89.456428571
1003808361,Douchy,Charles,J,M.D.,M,I,3850 Pleasant Hill Rd,,Duluth,GA,13,30096,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,39,42.0,42,251.44,119.35571429,91.203809524,88.720714286
1003811548,Teltscher,Janet,C,MD,F,I,21150 Biscayne Blvd,Ste 102,Aventura,FL,12,33180,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,236,291.0,291,206.09965636,110.1375945,81.94024055,76.15395189
1003811647,Shecter,Robin,I,DO,F,I,13660 Jog Rd,Ste 8,Delray Beach,FL,12,33446,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10040,Acne surgery,N,O,22,25.0,25,246.332,112.3504,89.884,86.0752
1003812207,Barber,Mary,F,M.D.,F,I,10973 Se 175th Pl Ste 100,,Summerfield,FL,12,34491,1.1,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,220,255.0,255,104.19607843,88.325215686,64.225137255,65.485568627
1003813916,Lowenstein,Eve,,M.D.,F,I,258 Merrick Rd,,Oceanside,NY,36,11572,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10040,Acne surgery,N,O,62,69.0,69,145.84043478,138.6673913,107.74710145,86.848405797
1003821810,Burruss,Jyoti,B,M.D.,F,I,3810 Springhurst Blvd,Suite 200,Louisville,KY,21,40241,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,87,93.0,93,183.0,86.519892473,62.200752688,68.513763441
1003823253,Rockley,Paul,F,MD,M,I,17101 Ne 19th Ave,Suite 101,North Miami Beach,FL,12,33162,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,12,14.0,14,248.62,125.84,97.105,88.457857143
1003824335,Desilva,Thushan,N,M.D.,M,I,120 Old San Antonio Rd,,Boerne,TX,48,78006,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,277,325.0,325,306.37532308,92.534707692,67.575569231,68.1996
1003829920,Ghidoni,John,J,MD,M,I,8229 Shoal Creek Blvd,Suite#101,Austin,TX,48,78757,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,184,198.0,198,335.09848485,97.985707071,67.509393939,69.203989899
1003831595,Mills,Sara,A,M.D.,F,I,10151 Montgomery Blvd Ne Bldg 1,Suite A,Albuquerque,NM,35,87111,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,71,89.0,89,172.12089888,91.552247191,63.656179775,69.147752809
1003833658,Debuys,Holly,V,M.D.,F,I,3065 W Southlake Blvd,Suite 140,Southlake,TX,48,76092,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,110,126.0,126,149.16571429,95.401507937,71.605634921,72.141349206
1003839358,Szabo,Sarolta,K,M.D.,F,I,206 W County Line Rd,Suite 340,Highlands Ranch,CO,8,80129,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,11,11.0,11,134.0,129.53272727,78.458181818,74.454545455
1003840869,Mines,Jill,S,MD,F,I,3901 Las Posas Rd,#108,Camarillo,CA,6,93010,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,201,246.0,246,150.0,114.17422764,81.827073171,70.003455285
1003842618,Mikkilineni,Radha,,M.D.,F,I,1120 19th St Nw,Suite 250,Washington,DC,11,20036,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,19,22.0,22,386.48181818,111.09409091,80.84,64.96
1003844937,Mcdonnell,Jonelle,K,MD,F,I,25097 Olympia Ave,Suite 204,Punta Gorda,FL,12,33950,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,20,21.0,21,123.45,119.09666667,86.624761905,85.562857143
1003852427,Kempers,Steven,E,M.D.,M,I,7205 University Ave Ne,,Fridley,MN,27,55432,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,15,16.0,16,158.0,83.09375,55.838125,54.760625
1003859802,Yamamoto,Richard,A,M.D.,M,I,3565 Del Amo Blvd,3rd Floor Dermatology,Torrance,CA,6,90503,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,26,29.0,29,202.0,121.39,93.76137931,80.553103448
1003870650,Long,Robert,D,MD,M,I,3 Hospital Dr,,Lewisburg,PA,42,17837,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,17,17.0,17,138.0,95.294705882,54.54,57.507058824
1003870734,Schlam,Evan,H,MD,M,I,1475 Nw 12th Ave,Box 016960,Miami,FL,12,33136,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,461,931.0,931,115.0,103.02181525,82.134135338,79.221471536
1003873126,Rubenstein,Mitchell,H,MD,M,I,111 Cypress St,,Brookline,MA,25,2445,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,130,140.0,140,163.0,32.67,23.176142857,20.766428571
1003875741,Brieva,Joaquin,C,MD,M,I,676 N Saint Clair St,Suite 1600,Chicago,IL,17,60611,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,72,73.0,73,363.0,106.36452055,73.776027397,67.800684932
1003876053,Rogers,Michael,J,,M,I,727 Us 27 South,,Sebring,FL,12,33870,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,760,1132.0,1132,153.43954947,79.956581272,61.807464664,62.381634276
1003876285,Gerber,Howard,B,M.D.,M,I,6565 West Loop S,Ste. 800,Bellaire,TX,48,77401,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,0003A,Fee covid-19 vac 1 booster,N,O,17,17.0,17,38.0,38.0,38.0,39.2
1003879495,Miladi,Anis,,M.D.,M,I,620 John Paul Jones Cir,,Portsmouth,VA,51,23708,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,17311,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals (first stage, up to 5 tissue blocks)",N,O,41,42.0,42,851.78428571,602.98833333,467.85642857,470.75190476
1003884008,Strapko,Helen,,M.D.,F,I,115 Sullys Trl,Suite 2,Pittsford,NY,36,14534,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,15,15.0,15,101.87666667,93.146666667,69.569333333,73.025333333
1003884339,Cornelison,Raymond,L,MD,M,I,3727 Nw 63rd St Ste 205,,Oklahoma City,OK,40,73116,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,11,11.0,11,336.0,116.79818182,69.73,75.99
1003884925,Colman,Gregory,J,MD,M,I,2001 Santa Monica Blvd,990w,Santa Monica,CA,6,90404,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,18,18.0,18,142.0,139.55222222,105.42333333,90.227222222
1003885609,Iyer,Anita,,M.D.,F,I,6500 Rock Spring Dr Ste 105,,Bethesda,MD,24,20817,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,14,16.0,16,304.71,150.705,117.361875,95.489375
1003887035,Deng,Liang,,MD,F,I,1275 York Ave,,New York,NY,36,10021,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,18,20.0,20,330.0,27.625,22.15,18.9185
